SP_Hole_ID,From_Hole_Position,To_Hole_Position,SB_Box_Label,lith_test,F_ppm,Na_pct,Mg_pct,Al_pct,Si_pct,P_pct,S_pct,K_pct,Sc_ppm,Ti_ppm,V_ppm,Li_ppm,Be_ppm,Ca_pct,Cr_ppm,Mn_ppm,Fe_pct,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,As_ppm,Se_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Ag_ppm,Cd_ppm,In_ppm,Sn_ppm,Sb_ppm,Te_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,W_ppm,Re_ppm,Tl_ppm,Pb_ppm,Bi_ppm,Th_ppm,U_ppm
GV003,145,146,44,1,25612.49447,0.483386667,1.703073333,6.20972,28.50046667,0.175106667,1.84498,2.95908,12.0228,4123.559333,109.1906667,36.21873333,2.185466667,3.797766667,128.8691333,2371.419667,6.386213333,34.4004,44.45846667,886.2668667,1041.354,19.97973333,61.49113333,2.171333333,271.5579333,313.2506667,82.06073333,337.0756,31.90773333,88.3314,1.3136,1.209,0.121333333,13.20533333,28.97266667,1.0156,3.5792,8211.084533,942.8378667,1079.0184,86.52133333,226.3716667,26.81133333,13.11453333,18.67333333,2.360533333,13.9254,2.8576,8.3954,1.027933333,7.047466667,1.070466667,8.611,1.618,99.38446667,0.0092,1.143266667,163.621,5.047866667,31.71946667,41.24144411
GV003,147,148,45,1,12882.761,0.525985714,1.662257143,5.847714286,27.26458571,0.134185714,2.084128571,2.901285714,11.77314286,4059.795286,110.0307143,41.40771429,2.184714286,2.943028571,185.1115714,3440.615714,6.465385714,37.39142857,51.91171429,769.7085714,1478.259714,19.81257143,89.487,1.942285714,275.7765714,277.4925714,80.89057143,311.255,30.15742857,94.13585714,1.318142857,1.241571429,0.133,12.36557143,44.82571429,0.855,3.521714286,9542.250286,935.2714286,1151.503,90.21014286,242.2732857,28.40985714,11.14471429,19.26114286,2.435142857,14.123,2.871428571,8.289857143,1.013714286,6.920571429,1.032142857,8.107714286,1.573428571,97.64528571,0.008285714,1.148714286,312.0418571,4.215571429,27.83471429,40.60430628
GV003,148,149,45,1,10117.55325,0.3449125,1.5030375,5.7678125,24.2224875,0.1146625,2.699575,3.1960875,10.36275,3550.054375,94.90075,32.022125,2.226375,1.8394875,122.424875,4335.58525,7.28755,34.893875,38.67125,574.009125,950.660625,21.08075,71.3445,2.00275,271.2685,225.26125,73.572,291.49475,30.573875,78.601375,1.052125,1.00225,0.13925,10.76725,29.210875,0.661625,3.2795,8901.897625,741.931,997.952875,75.983125,204.90775,25.022875,8.624375,16.857875,2.188875,12.833875,2.577125,7.64275,0.922,6.45775,0.969,7.817375,1.531875,86.527125,0.00925,1.033875,241.324625,1.985375,26.60875,35.46150571
GV003,149,150,45,1,27058.71288,0.3983125,1.62935,5.4155,28.26975,0.127875,1.8682,2.933025,10.8295,3549.645875,99.316375,35.09557143,2.174285714,3.551957143,59.69385714,2258,5.971385714,32.30357143,28.33942857,476.7141429,477.4218571,19.05385714,75.43257143,2.118142857,285.0507143,310.7227143,86.80271429,321.8927143,29.84914286,71.98928571,1.246,0.613142857,0.110857143,11.677,36.995,0.837571429,3.467428571,8611.696,916.6005714,1132.527857,89.55642857,238.8621429,28.44728571,13.70342857,20.14371429,2.47,14.62328571,3.044571429,9.048571429,1.077285714,7.504714286,1.109142857,8.185857143,1.564,80.42428571,0.007571429,1.139714286,137.4461429,4.916142857,25.50628571,35.61137584
GV003,150,151,45,1,26401.20838,0.32925,1.5402625,5.8881125,24.3314375,0.126225,2.3541875,3.5006,10.5725,3661.72575,93.943375,33.049625,2.19675,3.002925,82.742875,3563.209625,6.6880125,32.875625,33.174375,681.137125,656.374375,20.647125,63.712,2.168625,295.06325,208.29,81.39075,241.6905,29.908,85.45825,1.1235,0.807875,0.122625,11.3605,29.01475,0.8385,3.560125,8263.8685,854.88675,1046.334,84.292125,219.062375,27.34025,12.422625,18.991625,2.402625,13.923625,2.892875,8.417,1.036625,6.994875,1.05875,6.839125,1.3395,91.3495,0.009125,1.126625,126.590125,3.438875,24.4345,36.1112601
GV003,151,152,46,1,14405.58757,0.324442857,1.542128571,6.288085714,24.96905714,0.117342857,2.502342857,3.645628571,10.68528571,3713.22,98.57757143,36.04025,2.22125,2.5447625,78.422625,3704.42775,6.749975,31.49025,29.9035,504.599625,649.681,21.095875,82.299375,2.180875,299.63875,220.458,79.638125,249.761375,28.750625,71.65675,1.197,0.786625,0.123,11.057875,36.785125,0.672,3.678375,9376.145125,835.435875,1063.704125,83.057375,222.833625,27.244375,10.114,18.361875,2.33075,13.858,2.81725,8.288625,1.015375,6.891875,1.033125,7.252125,1.429375,81.975125,0.008875,1.147625,119.6475,3.221,23.95,33.99797037
GV003,152,153,46,1,8416.365667,0.329116667,1.7136,7.1369,28.27471667,0.123716667,1.8012,4.3854,12.035,4416.019333,107.9203333,37.875,2.241833333,1.939266667,92.68,2832.611667,6.510333333,31.31166667,29.4305,557.5381667,818.6676667,20.731,54.90583333,2.160333333,296.6905,231.4176667,81.5,269.9271667,27.88266667,48.608,1.217166667,0.689166667,0.114333333,10.57333333,24.19783333,0.562333333,3.554166667,8794.0105,880.792,1156.423167,88.054,232.6005,28.80566667,9.544333333,19.034,2.42,14.19683333,2.942,8.497,1.055833333,7.176166667,1.057666667,7.531833333,1.471166667,67.37083333,0.006,1.167,137.6566667,1.6205,25.73133333,33.54658063
GV003,153,154,46,1,15520.9988,0.3733,1.72518,6.5348,28.7562,0.16668,1.80662,3.2512,12.2136,4212.1872,113.6798,38.9444,2.1342,3.701,124.1766,3973.9298,6.40562,37.3998,41.6492,1174.8898,1032.3102,20.074,196.069,2.281,278.9518,294.6162,86.2096,321.331,33.3964,149.2242,1.4822,1.231,0.135,13.6258,127.762,1.201,3.5906,12202.255,984.7122,1229.1564,93.8576,239.6244,28.6144,12.4332,20.0384,2.503,14.58,2.9908,8.7938,1.091,7.3998,1.1156,8.2946,1.6458,144.1882,0.0112,1.1316,145.6752,7.4584,26.153,45.66293157
GV003,154,155,47,1,24932.22771,0.466728571,1.696871429,6.445771429,28.13578571,0.203357143,1.808857143,3.329957143,12.03314286,3891.25,123.2761429,38.46957143,2.121571429,3.7774,85.32242857,3841.519714,6.209842857,32.90842857,24.27614286,523.284,772.9927143,20.738,82.952,2.281,286.128,254.9404286,84.44157143,311.0485714,30.64257143,91.43771429,1.110428571,0.645857143,0.121571429,12.25657143,36.52142857,0.885,3.600428571,9489.134286,912.8108571,1083.316286,85.68728571,225.1257143,27.31642857,13.52642857,19.17014286,2.415,14.179,2.96,8.719285714,1.058142857,7.186285714,1.082285714,8.079857143,1.517285714,100.0292857,0.009428571,1.144,137.4675714,5.110285714,24.69,38.92888374
GV003,155,156,47,1,25450.08314,0.571657143,1.717442857,6.187642857,28.70208571,0.186228571,1.654142857,3.2615,13.99142857,4282.843286,138.1558571,34.53342857,2.207857143,3.828585714,71.95985714,3436.554143,6.169171429,34.66314286,27.42271429,619.4647143,585.463,20.69514286,65.12214286,2.220428571,287.8,246.4795714,84.91042857,272.8402857,32.46371429,99.60014286,1.341285714,0.544571429,0.120142857,12.19357143,29.32157143,0.962,3.375857143,8699.092143,987.2124286,1175.880857,91.03671429,236.9937143,28.101,15.45142857,19.43514286,2.408428571,14.28742857,2.938142857,8.684142857,1.039714286,7.175428571,1.073428571,7.354714286,1.466714286,104.9677143,0.010428571,1.121285714,114.7262857,4.734142857,23.11628571,39.24435243
